講義コード,講義名,講義名（英語）,科目種別コード,科目コード,科目名,分野系列コード,分野系列名,単位数,講義期間コード,講義期間,履修年度,開講所属コード,開講所属
23535771,専門英語,Expert English,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
23856004,Engagement with Internship Ⅱ,Engagement with Internship Ⅱ,,,,850002,Subjects for Social Practice,1,93,後期集中,2024,003,基幹教育（国際コース）
24530501,キャリアのための自己探求学,Self-discovery for career design,,,,015800,高年次基幹教育科目,1,92,前期集中,2024,001,基幹教育科目
24530502,実践データサイエンス入門,Practical introduction to Data Science,,,,015720,オープン科目,1,14,夏学期,2024,001,基幹教育科目
24530503,アントレプレナーシップ・戦略論基礎,Basic Entrepreneurship Strategic Theory,,,,015800,高年次基幹教育科目,1,14,夏学期,2024,001,基幹教育科目
24530504,イノベーション・マネジメント,Innovation Management,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530505,企業と創るアイディアソン・ハッカソン演習,Co-creation Practice with Industry on Ideathon / Hackathon,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530506,Global Seminar (English),Global Seminar (English),,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530507,テクノロジー・マーケティング・ゲーム,Technology Marketing Game,,,,015720,オープン科目,2,14,夏学期,2024,001,基幹教育科目
24530508,アントレプレナーシップ・組織論応用,Applied Entrepreneurship Organization,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530509,デジタル工作入門,Digital Fabrication Tutorial,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530510,デザイン思考演習,Design Thinking Project,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530511,ニュービジネス・クリエーション-ビジネス・プランニング-,New Business Creation,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530512,Entrepreneurial Intention,Entrepreneurial Intention,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530513,アントレプレナーシップ・組織論基礎,Basic Entrepreneurship Organization Science,,,,015800,高年次基幹教育科目,1,93,後期集中,2024,001,基幹教育科目
24530514,ＱＲＥＣインターンシップ,QREC Internship,,,,015720,オープン科目,2,91,通年集中,2024,001,基幹教育科目
24530515,テクノロジー・マーケティング・ゲーム,Technology Marketing Game,,,,015720,オープン科目,2,23,秋学期,2024,001,基幹教育科目
24530516,アントレプレナーシップ・キャリアデザイン,Entrepreneurship Career Design,,,,015720,オープン科目,2,23,秋学期,2024,001,基幹教育科目
24530517,キャリアのための自己探求学,Self-discovery for career design,,,,015800,高年次基幹教育科目,1,93,後期集中,2024,001,基幹教育科目
24530518,Technology Marketing Game (English),Technology Marketing Game,,,,015720,オープン科目,2,24,冬学期,2024,001,基幹教育科目
24530519,アントレプレナーシップ・マーケティング基礎,Basic Entrepreneurship Marketing,,,,015800,高年次基幹教育科目,1,24,冬学期,2024,001,基幹教育科目
24530701,Modern History of Japan Ⅱ,Modern History of Japan Ⅱ,,,,015720,オープン科目,2,10,前期,2024,001,基幹教育科目
24530702,Japanese Economy in Transition,Japanese Economy in Transition,,,,015720,オープン科目,2,10,前期,2024,001,基幹教育科目
24530703,Introduction to International Finance,Introduction to International Finance,,,,015720,オープン科目,2,10,前期,2024,001,基幹教育科目
24530704,Gender and Sexuality in Today's Japan,Gender and Sexuality in Today's Japan,,,,015720,オープン科目,2,10,前期,2024,001,基幹教育科目
24530705,East Asian Images of Japan,East Asian Images of Japan,,,,015720,オープン科目,2,10,前期,2024,001,基幹教育科目
24531015,社会と数理科学,Mathematics in the Real World,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24531016,微分積分学Ⅰ,Calculus Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531017,微分積分学Ⅰ,Calculus Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531018,微分積分学Ⅰ,Calculus Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531019,微分積分学Ⅰ,Calculus Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531020,身の回りの物理学Ａ,Physics in Daily Life A,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531021,身の回りの物理学Ｂ,Physics in Daily Life B,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24531022,力学概論,Introduction to Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531023,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531024,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531025,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531026,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531027,基礎化学結合論Ⅰ,Elementary Chemical Bonding Ⅰ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531028,基礎化学結合論Ⅱ,Elementary Chemical Bonding Ⅱ,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24531029,無機物質化学Ⅰ,Elementary Inorganic ChemistryⅠ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531030,無機物質化学Ⅰ,Elementary Inorganic ChemistryⅠ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531031,無機物質化学Ⅱ,Elementary Inorganic ChemistryⅡ,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24531032,生命の科学Ａ,Science of Life A,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531033,生命の科学Ａ,Science of Life A,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24531034,生態系の科学,Science of Ecosystem,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531035,デザインアプローチ,Design Approach,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531036,図形科学Ⅰ,Graphic Science Ⅰ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531037,図形科学Ⅰ,Graphic Science Ⅰ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531038,図形科学Ⅰ,Graphic Science Ⅰ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531039,情報科学,Information Science,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531040,プログラミング演習(P),Computer Programming Exercise,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24531041,実験で学ぶ自然科学,Experimental approach to Natural Science,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24531042,デザイン思考,Design Thinking,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531043,生態系の科学（読替）,Science of Ecosystem,,,,015500,理系ディシプリン科目,1.5,10,前期,2024,001,基幹教育科目
24531044,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24531045,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24531046,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24531047,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24531048,専門英語（科学英語２）,Expert English,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531080,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531081,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531082,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531083,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531101,哲学・思想入門,Introduction to Philosophy and Thought,,,,015400,文系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531102,芸術学入門,Introduction to Art Studies,,,,015400,文系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531103,先史学入門,Introduction to Prehistory,,,,015400,文系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531104,歴史学入門,Introduction to History,,,,015400,文系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531105,文学・言語学入門,Introduction to Literature and Linguistics,,,,015400,文系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531106,心理学入門,Introduction to Psychology,,,,015400,文系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531107,法学入門,Introduction to Law,,,,015400,文系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531115,微分積分学Ⅰ,Calculus Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531116,微分積分学Ⅰ,Calculus Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531117,微分積分学Ⅰ,Calculus Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531118,基礎生物有機化学Ⅰ,Fundamental Bio-organic Chemistry Ⅰ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531119,基礎生物有機化学Ⅱ,Fundamental Bio-organic Chemistry Ⅱ,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24531120,有機物質化学Ⅰ,Elementary Organic ChemistryⅠ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531121,有機物質化学Ⅱ,Elementary Organic ChemistryⅡ,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24531122,図形科学Ⅰ,Graphic Science Ⅰ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531123,図形科学Ⅱ,Graphic Science Ⅱ,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24531141,ローマ法史,Roman Legal History,,,,015800,高年次基幹教育科目,2,10,前期,2024,001,基幹教育科目
24531144,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531145,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531146,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531147,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531148,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531149,学術英語・グローバルイシューズ,Academic English: Global Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531150,学術英語・グローバルイシューズ,Academic English: Global Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531151,学術英語・グローバルイシューズ,Academic English: Global Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531152,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24531153,ドイツ語ⅠA,GermanⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531154,ドイツ語ⅠB,GermanⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531155,フランス語ⅠA,French ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531156,フランス語ⅠB,French ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531157,中国語ⅠA,Chinese ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531158,中国語ⅠA,Chinese ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531159,中国語ⅠA,Chinese ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531160,中国語ⅠB,Chinese ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531161,中国語ⅠB,Chinese ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531162,中国語ⅠB,Chinese ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531163,韓国語ⅠA,Korean ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531164,韓国語ⅠA,Korean ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531165,韓国語ⅠB,Korean ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531166,スペイン語ⅠA,Spanish ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531167,スペイン語ⅠA,Spanish ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531168,スペイン語ⅠB,Spanish ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531180,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531181,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531182,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531201,サイバーセキュリティ基礎論,Primary Course of Cyber Security - How to Survive  the Cyber,,,,015900,サイバーセキュリティ科目,1,13,春学期,2024,001,基幹教育科目
24531202,サイバーセキュリティ基礎論,Primary Course of Cyber Security - How to Survive  the Cyber,,,,015900,サイバーセキュリティ科目,1,13,春学期,2024,001,基幹教育科目
24531203,法学入門,Introduction to Law,,,,015400,文系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531215,数理統計学,Mathematical Statistics,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531216,数理統計学,Mathematical Statistics,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531217,微分積分学Ⅰ,Calculus Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531218,細胞生物学,Basic Cell Biology,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531219,空間表現実習Ⅰ,General Principles of Technical Drawings I,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531220,情報科学,Information Science,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531221,プログラミング演習(P),Computer Programming Exercise,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24531222,プログラミング演習(P),Computer Programming Exercise,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24531244,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531245,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531246,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531247,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531248,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531249,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531250,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531251,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531252,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24531253,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24531254,学術英語・スキルベース,Academic English: Skill-Based,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24531255,学術英語・スキルベース,Academic English: Skill-Based,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24531256,ドイツ語ⅠA,GermanⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531257,ドイツ語ⅠA,GermanⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531258,ドイツ語ⅠB,GermanⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531259,フランス語ⅠA,French ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531260,フランス語ⅠB,French ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531261,中国語ⅠA,Chinese ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531262,中国語ⅠA,Chinese ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531263,中国語ⅠA,Chinese ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531264,中国語ⅠB,Chinese ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531265,中国語ⅠB,Chinese ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531266,中国語ⅠB,Chinese ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531267,韓国語ⅠA,Korean ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531268,韓国語ⅠB,Korean ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531269,韓国語ⅠB,Korean ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531270,スペイン語ⅠA,Spanish ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531271,スペイン語ⅠA,Spanish ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531272,スペイン語ⅠB,Spanish ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531280,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531281,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531282,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531301,サイバーセキュリティ基礎論,Primary Course of Cyber Security - How to Survive  the Cyber,,,,015900,サイバーセキュリティ科目,1,13,春学期,2024,001,基幹教育科目
24531302,サイバーセキュリティ基礎論,Primary Course of Cyber Security - How to Survive  the Cyber,,,,015900,サイバーセキュリティ科目,1,13,春学期,2024,001,基幹教育科目
24531303,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531304,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531305,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531306,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531307,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531308,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531309,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531310,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531311,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531312,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531313,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531314,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531315,微分積分学Ⅰ,Calculus Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531316,無機物質化学Ⅰ,Elementary Inorganic ChemistryⅠ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531317,図形科学Ⅰ,Graphic Science Ⅰ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531318,図形科学Ⅰ,Graphic Science Ⅰ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24531319,情報科学,Information Science,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24531320,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531321,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531322,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531323,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531324,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531325,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531326,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531327,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531328,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531329,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531330,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531331,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531332,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531333,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531334,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531335,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531336,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531337,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531338,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531339,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531340,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531341,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531342,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531343,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24531344,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531345,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531346,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531347,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531348,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531349,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531350,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531351,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531352,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531353,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531354,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24531355,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24531356,学術英語・スキルベース,Academic English: Skill-Based,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24531357,学術英語・スキルベース,Academic English: Skill-Based,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24531380,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531381,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531382,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531383,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24531444,学術英語・上級,Academic English: Advanced,,,,015301,言語文化基礎科目,2,10,前期,2024,001,基幹教育科目
24531445,専門英語,Expert English,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24531446,専門英語,Expert English,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
